title,description,symbol,sentiment
Apple updates iMac with Intel processors,"(Reuters) - Apple Inc said it updated the iMac with fourth generation Intel Corp processors, better graphics, next generation Wi-Fi and faster flash storage options.",AAPL,
Google pays $55 million tax in Britain on 2012 sales of $5 billion,"LONDON (Reuters) - Google, which has been grilled twice in the past year by a UK parliamentary committee over its tax practices, had a UK tax bill of 35 million pounds ($55 million) in 2012, on sales",GOOGL,
"Microsoft plans to cut 1,000 jobs in Finland -newspaper","HELSINKI, July 16 (Reuters) - Microsoft Corp is planning to cut 1,000 jobs in Finland from its mobile phone unit, a Finnish daily said on Wednesday, quoting anonymous sources.",MSFT,
"Microsoft plans to cut 1,000 jobs in Finland: newspaper","HELSINKI (Reuters) - Microsoft Corp is planning to cut 1,000 jobs in Finland from its mobile phone unit, a Finnish daily said on Wednesday, quoting anonymous sources.",MSFT,
Smartphone suit against Google plays into rivals' hands,SAN FRANCISCO (Reuters) - A U.S. consumer lawsuit accusing Google of monopolizing prime real estate on Android smartphones will help mobile rivals like Microsoft make their antitrust case with Europea,GOOGL,
Apple should do more to tackle in-app purchases problem: EU,"BRUSSELS (Reuters) - Apple has provided no concrete and immediate solutions to tackle the problem of adults and children racking up credit card bills by making ""in-app"" purchases on tablets and mobile",AAPL,
Federal appeals court set to hear Microsoft 'cloud' case,NEW YORK (AP) â?? Microsoft wants a federal appeals court this week to agree that the United States reached too far when it sought a customer's emails that are stored in Ireland.,MSFT,
Mystery of 'Gold Artifact' That Stumped Archaeologists Solved by FB User,"The mystery of a ""gold artifact"" discovered at an archaeology site in Israel has been solved, thanks to a Facebook user, according to the Israel Antiquities Authority.",FB,
How Mark Zuckerberg could prevent gun violence,"The Facebook founder and other business leaders should push for ways to use big data to anticipate and prevent violence and terrorism, Sreedhar Potarazu says.",FB,
Banksy's Steve Jobs mural spotlights refugee crisis,"Banksy's latest works have appeared in a refugee camp in Calais, France. One depicts the late Apple co-founder and CEO Steve Jobs, carrying a sack over his shoulder and a Macintosh computer.",AAPL,
Did San Bernardino shooter's Facebook settings foil feds?,"Tashfeen Malik advocated jihad in messages on social media, but her comments were made under a pseudonym and with strict privacy settings that did not allow people outside a small group of friends to ",FB,
FBI Fires Back at Apple: 'Take a Deep Breath',Apple and U.S. authorities have lobbed strongly worded statements at each other over the San Bernardino gunman's iPhone. Here's how it's played out,AAPL,
FBI head defends agency's stand in battle with Apple,James Comey: We owe it to San Bernardino victims to get into shooter's iPhone to seek leads,AAPL,
Apple Moves to Shift Battle Over Unlocking iPhone to Capitol Hill,"The company has proposed that federal prosecutors withdraw demands that it unlock an iPhone belonging to a gunman involved in the San Bernardino, Calif., shooting.",AAPL,
&#8203;Tim Cook: Feds should withdraw demand for iPhone hack,Apple CEO denies company acting out of business interests by fighting court order to cooperate with FBI's investigation of San Bernardino shootings,AAPL,
"Is ""Steve Jobs"" movie true? Not if you ask Tim Cook","""Steve Jobs"" director Danny Boyle and actor Michael Fassbender tell 60 Minutes that everyone knew a different side of the Apple icon",AAPL,
Tate Britain to Stage Major David Hockney Retrospective,"Self-portraits, abstract images and sun-dappled swimming pools will feature at London's Tate Britain in a major exhibition devoted to artist David Hockney",AAPL,
"Apple vs. FBI: Feds Have More Support, Survey Says",Fifty-one percent of people surveyed said that Apple should assist the FBI in accessing an iPhone 5C used by San Bernardino shooter Syed Farook.,AAPL,
Apple 'raised technological barriers' to stop warrant in iPhone case: U.S. government,"(Reuters) - The U.S. Justice Department on Thursday said Apple Inc's rhetoric was ""false"" in a high-profile fight over the government's bid to unlock an encrypted iPhone belonging to one of the San Be",AAPL,
US rebuts Apple claim on password reset in iPhone case,"WASHINGTON (AP) â?? A decision to reset the password on an iCloud account associated with one of the San Bernardino attackers did not effectively thwart the investigation into the shooting, FBI offici",AAPL,
Elon Musk to reveal autopilot improvements for Tesla on Sunday,Elon Musk will be revealing autopilot improvements for Tesla cars and holding a Q&A with the media on Sunday.,TSLA,
Short-seller Chanos calls Tesla-SolarCity merger 'crazy': CNBC conference,"NEW YORK (Reuters) - The prominent short-seller Jim Chanos, founder of Kynikos Associates, called the proposed merger of Tesla Motors Inc  and SolarCity Corp  ""crazy,"" noting that the combined company",TSLA,
US STOCKS-Wall Street rises on Apple-led tech gains,"* Indexes up: Dow 0.22 pct, S&P 0.31 pct, Nasdaq 0.64 pct

 (Adds details, comments, updates prices)
  
",AAPL,
Indonesia to investigate Google for possible unpaid taxes,"JAKARTA (Reuters) - Indonesia's tax office will investigate Alphabet Inc's  Google for alleged unpaid taxes in Southeast Asia's largest economy, a senior finance ministry official said on Thursday.
  ",GOOGL,
Review: The iPhone 7 makes a splash,"Apple's water resistant iPhone 7 and iPhone 7 Plus have better cameras and longer battery life.
    
",AAPL,
Viral photo shows the face of heroin crisis America needs to see,"In posting the photo to Facebook, the East Liverpool Police in Ohio showed the hideous face of a crisis in American culture, says Philip Holloway
    
",FB,
Apple fans hit the NYC flagship store for iPhone 7,"The first Apple customers in New York City to snap the new iPhone 7 off the shelves cheered as they entered its flagship store on Friday (September 16), flanked by applauding sales staff.
  
",AAPL,
Twitter shares plunge on report Google has no plan to make bid,"(Reuters) - Twitter Inc's shares plunged more than 19 percent in early trading on Thursday after technology website Recode reported that Alphabet Inc's Google does not ""currently"" plan to make a bid f",GOOGL,
Apple shares perk up after strong report from iPhone chip supplier,"SAN FRANCISCO (Reuters) - Shares of Apple Inc  rose 1 percent on Thursday after German supplier Dialog Semiconductor Plc  said its quarterly revenue were higher than expected, adding to recent enthusi",AAPL,
Amazon explores live sports streaming: WSJ,"(Reuters) - Amazon.com Inc  is exploring live sports streaming and has held talks with leagues including the National Basketball Association, Major League Baseball and the National Football League for",AMZN,
IBM invests in UK data centers as tech sector defies Brexit worries,"LONDON (Reuters) - Global IT group IBM  will triple the number of its cloud data centers in Britain, it said on Tuesday, joining Facebook and Google in investing in the UK after its vote to leave the ",FB,
UPDATE 1-Amazon explores live sports streaming - WSJ,"Nov 21 (Reuters) - Amazon.com Inc is exploring live
sports streaming and has held talks with leagues including the
National Basketball Association, Major League Baseball and the
National Football Leag",AMZN,
This isn't fake: Facebook stock is on fire,Facebook tumbled shortly after Donald Trump won the election. Fears of how he might treat big tech and accusations that fake news stories on Facebook helped Trump win hurt the stock. But Facebook has ,FB,
Exclusive: Google nears tax settlement with Indonesian government - sources,"JAKARTA (Reuters) - Alphabet Inc's  Google is expected to reach a tax settlement with the Indonesian government in the next few weeks, people familiar with the matter told Reuters.
  
",GOOGL,
Germany's Merkel says supports efforts against hate speech,"BERLIN (Reuters) - German Chancellor Angela Merkel on Wednesday threw her support behind efforts to fight the use of hate speech posted on social media platforms like Facebook, Twitter, and Google's Y",FB,
Germany's Merkel says supports efforts against hate speech,"BERLIN, Nov 23 (Reuters) - German Chancellor Angela Merkel
on Wednesday threw her support behind efforts to fight the use
of hate speech posted on social media platforms like Facebook
, Twitter, and G",FB,
IOC calls on Tokyo to keep costs below $20 billion,"TOKYO (Reuters) - The International Olympic Committee on Tuesday called on Tokyo to keep costs for the next Summer Olympics below $20 billion as the 2020 hosts grapple with ballooning expenses.
  
",AAPL,
EU urges U.S. tech giants to act faster against hate speech,"BRUSSELS (Reuters) - U.S. tech giants including Facebook, Twitter, Google's YouTube and Microsoft will have to act faster to tackle online hate speech or face laws forcing them to do so, the European ",FB,
Apple in talks to invest in SoftBank's $100 billion fund: WSJ,"(Reuters) - Apple Inc  has held talks to invest in a $100 billion tech fund being set up by Japan's SoftBank Group Corp , the Wall Street Journal reported on Monday, citing people familiar with the ma",AAPL,
Google signs internet deal with Cuba's telecommunications monopoly,"HAVANA (Reuters) - Google signed an agreement with the Cuban government on Monday granting internet users on the Communist-run island quicker access to its branded content.
  
",GOOGL,
UPDATE 1-Apple in talks to invest $1 bln in SoftBank tech fund - source,"Dec 12 (Reuters) - Apple Inc has held talks to
invest up to $1 billion in a new $100 billion tech fund being
set up by Japan's SoftBank Group Corp, a source
familiar with the matter told Reuters on Mo",AAPL,
Apple focusing on autonomous car system - CEO Cook on Bloomberg,"(Reuters) - Apple Inc is concentrating on technology for self-driving cars, Chief Executive Tim Cook said for the first time in an interview with Bloomberg.
  
",AAPL,
Apple issues $1 billion green bond after Trump\'s Paris climate exit,"WASHINGTON (Reuters) - Apple Inc  offered a $1 billion bond dedicated to financing clean energy and environmental projects on Tuesday, the first corporate green bond offered since President Donald Tru",AAPL,
Apple issues $1 bln green bond after Trump\'s Paris climate exit,"WASHINGTON, June 13 (Reuters) - Apple Inc offered a
$1 billion bond dedicated to financing clean energy and
environmental projects on Tuesday, the first corporate green
bond offered since President Do",AAPL,
Whole Foods CEO hints at another brand under Amazon,"(Reuters) - After Amazon.com Inc  completes its takeover of high-end grocer Whole Foods Market Inc , it might launch another brand with different standards, the grocery chain's chief executive said in",AMZN,
"As iPhone 8 looms, firms scramble to lock up memory chip supply",SEOUL (Reuters) - Global electronics makers are scrambling to stock up on memory chips to keep production lines running as Apple Inc's new iPhone 8 launch later this year threatens to worsen a global ,AAPL,
EU antitrust regulators hit Google with record 2.42 bln euro fine,"BRUSSELS, June 27 (Reuters) - EU antitrust regulators
slapped a record 2.42-billion-euro ($2.7 billion) fine on
Alphabet unit Google on Tuesday by illegally favouring
its shopping service.
  
",GOOGL,
Video shows chaotic scene inside Apple store as shots are fired,"Surveillance video released from mall shooting incident in Albany, New York, as man sentenced to 3.5 years to seven years.",AAPL,
"Trump, in tweet, again blasts Amazon over taxes, jobs","WASHINGTON, Aug 16 (Reuters) - U.S. President Donald Trump
on Wednesday criticized Amazon.com on Twitter over taxes and
jobs and accused the global retailer,  without evidence, of
hurting U.S. localit",AMZN,
"Trump, in tweet, hits Amazon over taxes, jobs","WASHINGTON (Reuters) - U.S. President Donald Trump on Wednesday criticized Amazon.com on Twitter over taxes and jobs and accused the global retailer, without offering evidence, of hurting U.S. localit",AMZN,
U.S. senator: Twitter should offer analysis of Russian activity,"WASHINGTON, Sept 7 (Reuters) - Twitter Inc should
provide an analysis of recent Russian activity on its social
media platform, similar to the one Facebook Inc provided,
the top Democrat on the U.S. Se",FB,
"Top House intelligence panel Democrat wants testimony from Facebook, Twitter",WASHINGTON (Reuters) - The top Democrat on the U.S. House of Representatives Intelligence Committee said on Wednesday that representatives of Facebook Inc  and Twitter Inc  should appear before the pa,FB,
Facebook to share Russia-linked ads with U.S. Congress,"SAN FRANCISCO (Reuters) - Facebook Inc  said on Thursday it plans to share with U.S. congressional investigators some 3,000 political ads that it says Russia-based operatives ran on Facebook in the mo",FB,
"Facebook to overhaul political ads, share some with U.S. Congress","SAN FRANCISCO (Reuters) - Facebook Inc  on Thursday launched an overhaul of how it handles paid political advertisements on the world's largest social network, responding to criticism that it has not ",FB,
"Trump questions Facebook action on ads in tweet about ""Russia hoax""","WASHINGTON, Sept 22 (Reuters) - U.S. President Donald Trump
on Friday questioned Facebook Inc's decision to overhaul
how it handles paid political advertisements amid investigations
into alleged Russi",FB,
UPDATE 1-Trump dismisses Facebook ads controversy as part of 'Russia hoax',"WASHINGTON, Sept 22 (Reuters) - U.S. President Donald Trump
on Friday questioned Facebook Inc's decision to overhaul
how it handles paid political advertisements amid investigations
into alleged Russi",FB,
"Amazon to start selling Apple TV, Google Chromecast","Dec 14 (Reuters) - Amazon.com Inc will start
selling Google Chromecast and Apple TV, which compete against
its Fire TV, on its online store, an Amazon spokeswoman told
Reuters on Thursday.
  
",AMZN,
"To thwart Amazon, Kroger and Walmart lure shoppers with curbside pickup","LOS ANGELES, Dec 18 (Reuters) - As Amazon.com looks to upend
the U.S. grocery market with home delivery, some veteran
supermarket operators are betting on a different strategy:
curbside pickup.
  
",AMZN,
"U.S. says Facebook, Microsoft disabled North Korean cyber threats","WASHINGTON (Reuters) - Facebook Inc and Microsoft Corp disabled a number of North Korean cyber threats last week, a White House official said on Tuesday, as the United States publicly blamed Pyongyang",FB,
Apple suppliers drop on report of weak iPhone X demand; analysts' views mixed,"BEIJING (Reuters) - Shares in several of Apple Inc's  Asian suppliers fell for a second straight day on Tuesday, hurt by a report from  Taiwan's Economic Daily and some analysts saying that iPhone X d",AAPL,
Mother of 3 receives liver transplant from complete stranger after Facebook plea,Jeff Bramstedt from California had never met Melinda Ray but he flew to Colorado to save her life.,FB,
"Facebook's Sandberg, Twitter's Dorsey to leave Disney board",LOS ANGELES (Reuters) - Facebook Inc  Chief Operating Officer Sheryl Sandberg and Twitter Inc  Chief Executive Jack Dorsey will not seek re-election to Walt Disney Co's  board because of conflicts of ,FB,
China's millennium-old fireworks hub grapples with bans and shifting traditions,"LIUYANG, China (Reuters) - From the concrete bunkers carved into the hillside, where workers gingerly handle piles of explosive black powder, to the shopfronts selling colorful boxes of pyrotechnics,.",AAPL,
BRIEF-Sebastian Gunningham Joins WeWork as Vice Chair,"March 13 (Reuters) - WeWork:
* SAYS SEBASTIAN GUNNINGHAM JOINS FROM AMAZON AS VICE CHAIR
  
",AMZN,
UPDATE 1-U.S. Republican lawmakers concerned by Facebook data leak,"WASHINGTON, March 18 (Reuters) - Several U.S. Republican
lawmakers expressed concern over privacy violations on Sunday
after media reports that a political consultancy that worked on
President Donald ",FB,
FTC to investigate Facebook over use of personal data: report,"WASHINGTON/LONDON (Reuters) - The U.S. Federal Trade Commission is investigating Facebook Inc over its use of personal data, Bloomberg News reported on Tuesday, after a whistleblower said a political ",FB,
White House welcomes looks into reports Trump's consultants misused Facebook data: official,WASHINGTON (Reuters) - President Donald Trump wants Americans' privacy to be protected and welcomes investigations into reports the Cambridge Analytica consulting firm that he hired to help win the 20,FB,
BRIEF-Facebook's Sandberg says 'we didn't do enough',"March 21 (Reuters) - Facebook Inc Chief Operating
Officer Sheryl Sandberg spoke for the first time about personal
data that ended up in the hands of analytics firm Cambridge
Analytica.
  
",FB,
Facebook scandal could push other tech companies to tighten data sharing,SAN FRANCISCO (Reuters) - Big internet companies and small software developers alike are likely to face scrutiny over how they share customer information in the wake of the scandal involving Facebook ,FB,
