date,title,description
1/6/19 7:37,"Amazon Kicks Off Apple Sale With Discounts On 2018 MacBook Air, iPhone X, and More","Amazon sale also has discounts on iPhone 6S, iPhone 6, as well as offers on iPhone XS, iPhone XS Max, iPhone 8, iPhone 8 Plus, and other iPhone models."
1/6/19 8:05,"Apple?s squid emoji has been anatomically incorrect for years, Monterey Bay Aquarium points out","If Apple can quickly change a bagel emoji, maybe it can get this fixed, too."
1/6/19 6:21,Apple Watch Series 4 Gets ECG and New Infograph Complications With watchOS 5.1.2,"Apple announced the heart features in September, but didn't make them available until Thursday. The features are US-only for now."
1/6/19 6:33,Apple Products Are Getting More Expensive. Here's Why.,"Apple has never made cheap stuff. But this fall, many of its prices increased 20 percent or more."
1/6/19 5:55,"iOS 12.1.1, macOS Mojave 10.14.2 Updates Add Support for Real-Time Texts and More","Apple has released the latest software updates across its range of products, though watchOS update is missing."
1/12/19 4:16,"Apple Hires Tesla's Former Senior Designer, Andrew Kim","Kim's hiring comes after Doug Field, Tesla's chief vehicle engineer, returned to Apple in August."
1/12/19 4:16,"As TikTok Videos Take Hold With Teens, Parents Scramble to Keep Up",The social network became the most downloaded on Apple's App Store in the first half of this year according to market analysis firm Sensor Tower.
1/12/19 4:16,"Qualcomm Says Apple Violating Chinese Court Order, Despite iOS 12.1.2 Update",Qualcomm said it believes Apple remains in violation of a Chinese court's orders to stop selling iPhones despite the iOS 12.1.2 software update that Apple pushed on Monday.
1/12/19 4:01,Apple Cuts First Quarter Production Plan for New iPhone Models by 10 Percent: Report,"Apple is cutting planned production for its three new iPhone models by about 10 percent for the March quarter, the Nikkei Asian Review reported."
1/12/19 4:01,China 2018 Smartphone Shipments Down Up to 15.5 Percent: Market Data,Apple triggered a selloff in global markets last week after it took the rare step of cutting its quarterly sales forecast citing slowing iPhone sales in China.
1/12/19 3:38,"Apple considered Samsung, MediaTek to supply 5G modems for 2019 iPhones","Apple Inc  held talks with Samsung Electronics Co Ltd  and MediaTek Inc  along with existing vendor Intel Corp  to supply 5G modem chips for 2019 iPhones, according to an Apple executive's testimony at a trial between Qualcomm Inc  and the U.S. Federal Trade Commission on Friday.
  
"
1/12/19 4:30,UPDATE 3-Coty makes changes to top management amid supply chain issues,"Cosmetics and fragrance maker Coty Inc
announced a major management shakeup on Friday, two
months after the CoverGirl and Max Factor brand owner appointed
a new chief executive officer as it grapples with supply chain
issues.
  
"
1/12/19 3:51,Apple Upstages Amazon in Selecting New Tech Hub Locations,Apple may have won the prize for completing its search with the fewest hurt feelings.
1/12/19 3:52,"More Companies Are Bypassing Big App Stores, Costing Apple, Google Millions",A growing number of software companies are looking to bypass the dominant app store gatekeepers at Apple and Google.
1/12/19 3:52,Trump Hails Apple Plans for New Texas Campus,US President Donald Trump thanked Apple chief Tim Cook on Friday after the tech giant unveiled plans for a $1 billion campus in Texas.
1/12/19 3:53,Apple to Build New $1 Billion Campus in Texas,The announcement follows a promise by Apple in January to invest $30 billion in the United States.
1/12/19 3:54,"Apple Watch, AirPods Selling Way More Than iPod Ever Did: Tim Cook",Apple CEO Tim Cook revealed the extent of the success of Apple Watch and AirPods in an interview with CNBC.
1/12/19 3:54,"Apple's App Store Hits New Holiday Week Record, Garnered Over $322 Million New Year's Day Alone","App Store spending between Christmas Eve and New Year's Eve topped $1.22 billion (roughly Rs. 8,500 crores)."
1/12/19 4:07,Apple's Stark Warning May Be Ominous News for China,"What happens when the Chinese growth juggernaut slows? Or worse yet, grinds to a halt?"
1/12/19 4:08,Apple Sales Should Pick Up When US-China Strike Trade Deal: Trump Adviser,Apple's warning on Wednesday about weak iPhone demand in the holiday quarter was a gloomy omen for Wall Street bulls.
1/12/19 3:45,"Apple Plans to Launch 3 iPhone Models in 2019, Including an LCD-Based iPhone XR Successor: Report","Apple is reportedly planning to introduce three iPhone models this year, including one that will pack a triple camera setup."
1/12/19 4:03,Global Tech Stocks Tank Following Apple Decline,"Apple shares plummeted nearly 8 percent in late trading on Wednesday after the company cut its outlook, and as a direct result, other tech shares sank, setting of another wave of concern among investors."
1/12/19 4:10,Huawei Share in Global Premium Smartphone Market Hits Double Digits for First Time: Counterpoint,"Apple led the global premium smartphone segment capturing 47 percent share of the segment, followed by Samsung (22 percent), and Huawei (12 percent)."
1/12/19 4:08,Here's Tim Cook's Memo to Employees About iPhone Sales Slowdown,"In a memo obtained by Bloomberg News, Cook expressed his disappointment after Apple cut its revenue outlook for the first time in almost two decades."
1/12/19 4:05,Apple's Bombshell and the Trillion-Dollar Question,"Some analysts point to Apple's dependence on iPhone sales to drive revenue and profits, even as it tries to diversify its product base and add services such as music and digital payments."
1/12/19 4:07,Qualcomm Enforces Ban to Halt Some Apple iPhone Sales in Germany,Qualcomm posted bonds of EUR 1.34 billion ($1.52 billion) as part of a legal requirement by a German court.
1/12/19 4:08,Apple's Cook Faces Toughest Test Yet Navigating iPhone Slowdown,"Apple CEO Tim Cook confirmed Wednesday that the latest iPhones, his flagship product, are not selling up to expectations."
1/12/19 4:08,"iOS 12 Now Running on 75 Percent of All Active iOS Devices, iOS 11 on 17 Percent: Apple",Apple has revealed that 78 percent of all iOS devices released in the past four years have been updated to iOS 12 by the end of 2018.
1/12/19 4:10,"iPhone Battery Replacement Programme Ends Today, Last Chance to Get Your Out-of-Warranty iPhone Battery Replaced",Apple kicked off the battery replacement programme for out-of-warranty iPhone batteries in December last year.
1/12/19 4:11,Apple Said to Begin Assembling Top-End iPhone Models in India in 2019 Through Foxconn,"Foxconn will be assembling the most expensive models, such as devices in the flagship iPhone X family, a source familiar with the matter told Reuters."
1/12/19 4:17,"Apple Accused of Making False Claims About iPhone X Series Screen Sizes, Pixel Counts",A lawsuit filed in a US court has accused Apple of making false claims about the screen sizes and pixel counts of the displays in its iPhone X series.
1/12/19 4:29,UPDATE 1-Apple demanded $1 billion for chance to win iPhone - Qualcomm CEO,"Qualcomm
sought to become the sole supplier of modem chips for Apple's
iPhone to recoup a $1-billion ""incentive payment"" that
Apple insisted on, not to block rivals from the market,
Qualcomm's chief executive testified on Friday.
  
"
1/12/19 3:42,Sony Ramping Up 3D Camera Sensor Production on Interest From Phone Makers Including Apple,Sony's 3D camera sensors get a reported oost in production as phone makers show interest
1/12/19 3:46,iPhone Prices Slashed by Chinese Retailers After Apple Sales Warning,"The price cuts on iPhones by Chinese retailers began in the middle of this week, with at least six offering promotions this weekend, according to checks done by Reuters."
1/12/19 3:46,Apple CEO Tim Cook Says Confident of Prospects Despite Naysayers,"Cook, in an interview with CNBC just six days after a sales warning sent shares skidding, highlighted a ""culture of innovation"" that he predicted would keep Apple a major force in technology."
1/12/19 3:46,Apple CEO Tim Cook's $12 Million Bonus for 2018 Is His Biggest Ever,"Cook received a $12 million bonus for the year ended September 29, the Cupertino, Apple said Tuesday in a filing."
1/12/19 3:47,Bent iPad Pro Controversy Addressed by Apple With New Support Page,"According to Apple, the slight bends are a result of the iPad Pro's manufacturing and cooling process."
1/12/19 3:48,Cyber Researcher Pulls Public Talk on Hacking Apple's Face ID,A cyber-security researcher cancelled a hacking conference briefing on how he said he could crack biometric facial recognition on Apple iPhones.
1/12/19 3:48,"Apple Cuts Revenue Guidance for Q1 2019, Citing Slowdowns in China and iPhone Sales","Apple has been seeking to diversify its revenue stream in the face of a largely saturated global smartphone market, with new products and services."
1/12/19 3:49,"iPad Pro 'Meet or Exceeds' Company?s Flatness Standards, Says Apple SVP Dan Riccio",Apple has reiterated that 2018 iPad Pro ?meets or exceeds? the company?s high-quality standards.
1/12/19 3:50,"iPad mini 5, New 10-Inch iPad Coming in 2019: Report","Apple is reportedly preparing to launch a new fifth-generation iPad Mini in the first half of 2019, followed by a 10-inch iPad model."
1/12/19 3:50,Apple Changes How It Reports US National Security Requests,"In its first-half 2018 transparency report on government data requests to its website, Apple separated out National Security Letters and requests under the Foreign Intelligence Surveillance Act, or FISA."
1/12/19 3:50,"iPad Pro Units May Be Bent on Purchase, Apple Says It's Not a Manufacturer Defect","Apple has confirmed that it is aware of complaints that its new iPad Pro models are reaching customers already slightly bent, but says it isn't a problem."
1/12/19 3:50,Apple Recruits Prominent Facebook Critic for Its Privacy Team: Report,Parakilas had earlier worked as Chief Strategy Officer for the non-profit Centre for Humane Technology.
1/12/19 4:04,Apple Supplier AMS Develops Behind-Screen Optical Sensor for Phones,Apple supplier AMS has developed a light and infrared proximity sensor that can sit behind a smartphone's screen.
1/12/19 4:04,CES 2019: Privacy Becomes a Selling Point,"""What happens on your iPhone stays on your iPhone,"" Apple says in the message to be seen by tens of thousands attending the Las Vegas tech show."
1/12/19 4:04,"Apple's Stock Price Slump Not of Concern, US President Donald Trump Says","""Apple was at a number that was incredible and they're going to be fine. Apple is a great company,"" Trump was quoted as saying."
1/12/19 4:05,Apple Working With Leading TV Manufacturers to Bring AirPlay 2 Support to New Smart TVs,Apple says leading TV manufacturers are bringing AirPlay 2 support on their new smart TVs this year.
1/12/19 4:05,AMS Links Up With China's Face++ for Android Facial Recognition,AMS already provides Apple with optical sensors for 3D facial recognition features on its newest iPhones.
1/12/19 4:05,Samsung TVs to Offer iTunes Shows in New Partnership With Apple,The move is a possible first sign Apple is looking to distribute its forthcoming television service on devices made by others.
1/12/19 4:05,"With Slump in iPhone Sales, Are We Post Peak Smartphone?",Behind Apple's disconcerting news of weak iPhone sales lies a more sobering truth: The tech industry has hit Peak Smartphone.
1/12/19 4:07,Apple Breaks Record for Christmas Day iPhone Activations in US and Canada,"While iPhone activations on Christmas day are typically higher than any other day of the year, this year Apple broke records in US and Canada."
1/12/19 4:07,Apple's iPhone Warning Comes Years Too Late,The optimistic narrative about Apple's iPhone business is falling apart in front of our eyes.
1/12/19 4:08,Apple Supplier Wistron Expanding Operations in India to Ramp Up Production Capacity: Report,Wistron has revealed that it is expanding its investment in India to increase the production capacity of its plant in Narasapura.
1/12/19 4:15,"iPhone 8, iPhone 7 Pulled in Germany as Qualcomm Extends Global Wins","""We are of course disappointed by this verdict and we plan to appeal,"" Apple said in a statement."
1/12/19 3:57,"Samsung, Like Apple, Feels Sting of Slowing Global Growth","Samsung said there's weak global demand for chips amid a worldwide economic slowdown, while its smartphones are facing stronger competition."
1/12/19 4:24,"Apple Said to Produce New Snoopy, Peanuts Cartoon Series","Apple will produce a new animated series starring Snoopy and the Peanuts gang for its video platform, a source close to the deal said Friday, confirming press reports."
1/12/19 4:20,"Apple to Take on Qualcomm, Intel With Custom Cellular Modem, Job Listings Suggest",Apple has already posted some job listings to source engineers for its custom cellular modem.
1/12/19 4:18,"Apple, J.J. Abrams Partner Again for Jennifer Garner-Led Series My Glory Was I Had Such Friends","Apple has reportedly added a new series to its growing line-up, My Glory Was I Had Such Friends, executive produced by J.J. Abrams and Jennifer Garner, with the latter also starring."
1/12/19 4:18,"Apple Music Connect Is Being Shut Down, to Disappear in May 2019","Apple Music Connect was never very popular and it will be shuttered completely by May 24, 2019."
1/12/19 4:36,Ethereum will Hold Apple and Tesla Stock Next Week,"A digital exchange opening next week allows investors to trade in major public companies using digital currency on Ethereum. DX.Exchange is a first of its kind in the cryptocurrency space. The exchange allows trades to occur even when the markets are closed.
Stocks Held on the Ethereum Blockchain
DX.Exchange will at first offer digital tokens based on shares of ten Nasdaq-listed companies. The company plans on expanding to the New York Stock Exchange in the future.
?We saw a huge market opportunity in tokenizing existing securities,? Daniel Skowronski, CEO of DX, told Bloomberg via ... 			
					Read The Full Article On CryptoCurrencyNews.com

					
						
					
					
						 
					
					Get latest cryptocurrency news on bitcoin, ethereum, initial coin offerings, ICOs, ethereum and all other cryptocurrencies. Learn How to trade on cryptocurrency exchanges.
					All content provided by Crypto Currency News is subject to our Terms Of Use and Disclaimer.
				"
1/12/19 4:16,Miami Man Sentenced To Four Years? Imprisonment For Participation In Apple Pay Fraud Scheme,"Jacksonville, Florida ? U.S. District Judge Brian J. Davis has sentenced Max Johnny Wesley (23, Miami) to four years in federal prison for access device (credit card) fraud, aggravated identity theft, and conspiracy to commit wire fraud. As part of his sentence, the court also entered a money judgment in the amount of $272,842.88, the proceeds of Wesley?s participation in the fraud scheme."
1/12/19 4:07,Waning iPhone Demand Highlights Chinese Consumer Anxiety,Apple is the latest company grappling with increasing Chinese consumer anxiety.
1/12/19 3:56,Apple Maps Turn-by-Turn Navigation Feature Comes to India,The turn-by-turn navigation feature on Apple Maps in India comes along with Guidance Voice.
1/12/19 3:56,Apple demanded $1 billion from Qualcomm for chance to win iPhone,"(Reuters) - Apple Inc asked for $1 billion as an ""incentive payment"" from Qualcomm Inc in order for Qualcomm to become the supplier of modem chips for Apple's iPhone, Qualcomm's chief executive testified on Friday at a trial with U.S. antitrust regulators."
1/12/19 4:09,Apple AirPower Wireless Charger Misses 2018 Release Window,"Apple's wireless charger, AirPower, missed its release window in 2018, yet again."
1/12/19 4:13,Apple Said to Remove Religious App Claiming Homosexuality Is a 'Sin',"Apple was yet to issue a statement on the app's removal, which was requested by a Truth Wins Out petition."
1/12/19 4:18,"Qualcomm Can't Use Apple Switch to Intel as Evidence in US FTC Antitrust Case, Rules Judge",A federal judge ruled Apple's switch to Intel cannot be used to fight allegations Qualcomm acted to preserve a monopoly on some mobile phone chips.
1/12/19 4:19,Apple to Push iOS Update in China in Bid to Resolve Qualcomm iPhone Case,"Apple will carry out the software updates at the start of next week ""to address any possible concern about our compliance with the order"","
1/12/19 4:19,"Qualcomm Asks Chinese Courts to Ban iPhone XS, iPhone XR Sales",Qualcomm is asking courts in China to ban sales of Apple's latest iPhone models XS and XR after winning a preliminary injunction against older models.
1/12/19 3:53,"Xiaomi Notebook Air (12.5-Inch) Gets a Intel Core i5 SoC Variant: Price, Specifications",Xiaomi Mi Notebook Air - the Chinese company's rival to the MacBook Air from Apple - has received a new model that sports an Intel Core i5 processor.
1/12/19 3:54,"Apple, Qualcomm Spar Over CEOs' Comments on Settlement Talks",Apple's chief on Tuesday said any talks ended in September 2018. Qualcomm's Chief Executive Steve Mollenkopf in November made comments about the supplier's efforts to resolve the dispute.
1/12/19 3:39,Apple cuts current-quarter production plan for new iPhones by 10 percent: Nikkei,"Apple Inc , which slashed its quarterly sales forecast last week, has reduced planned production for its three new iPhone models by about 10 percent for the January-March quarter, the Nikkei Asian Review reported on Wednesday.
  
"
1/12/19 3:40,Hulu Saw 48% Subscriber Growth In 2018 Thanks To Popular Series & Cord Cutters,"With all the talk of incredible Netflix subscriber numbers and the impending launches of Disney+ and whatever Apple has up its sleeve, it would appear that there?s not much room for growth for streaming services out there. If anything, common sense would dictate that with all the competition in the streaming sphere, paying customers would start to spend their money more conservatively and not just subscribe to every and all service.
Continue reading Hulu Saw 48% Subscriber Growth In 2018 Thanks To Popular Series & Cord Cutters at The Playlist."
1/12/19 4:27,Retailers are slashing iPhone prices across China as consumers say the phones aren't worth the cost,Apple's latest iPhones have been selling poorly in China because they're priced too high and they lack exciting features compared to local rivals.
1/12/19 4:33,"Beyond China, Apple's Asian business leans heavily on wealthier countries","Outside of Greater China, Apple has done well in mature and wealthy Asian economies such as Japan, South Korea and Singapore. But in the rest of Southeast Asia and India, where per capita incomes remain relatively low, the going has been tougher."
1/12/19 4:33,Apple's China struggles highlight US companies' trade war vulnerabilities,"Apple slashed its revenue guidance on Wednesday, highlighting just how vulnerable large American companies are to the ongoing U.S.-China trade war."
1/12/19 4:33,Chinese tech sector falls after Tim Cook says China is slowing,Tech-heavy mainland Chinese indexes declined on Thursday after Apple CEO Tim Cook commented on the country's economy.
1/12/19 4:20,Apple's Texture 'Netflix for Magazines' Said to Rankle Publishers,Apple is back with another idea that it says will help rescue the industry - and getting a much cooler reception.
1/12/19 4:16,Foxconn Not in Settlement Talks With Qualcomm in Apple Battle: Attorney,"The conflict is but one aspect of the global legal battle between regulators, Apple and Qualcomm, which supplies modem chips that help phones connect to wireless data networks."
1/12/19 4:15,"iOS 12.1.2 Update Released Again With New Build, but No Noticeable Changes: Report","With the second release of iOS 12.1.2, Apple has reportedly changed the build number from the previous 16C101 to 16C104."
1/12/19 2:04,Apple Said to Acquire London-Based Music Firm Platoon,Apple's reported acquisition of A&R and creative services company Platoon is aimed at tapping emerging artists for Apple Music.
