"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"1",5,5,5,0.840243823488768,0.804530396650788,0.639892603382621,0.924036061607256
"2",10,5,5,0.835241968198759,0.873985644233683,0.883012393400775,0.834996377054145
"3",20,5,5,0.808463924387129,0.770592870978353,0.817664705379722,0.817664975750714
"4",40,5,5,0.79608991310913,0.846081048620521,0.794724454444395,0.832981955341162
"5",80,5,5,0.81483360444402,0.811215368784904,0.85666516235697,0.826894193974322
"6",100,5,5,0.828045378685178,0.753236622548004,0.904947886515757,0.820130022919551
"7",200,5,5,0.830517003319004,0.825359732509506,0.959063477466671,0.925281788030771
"8",5,10,5,0.839611010930251,0.84729784362985,0.589349342556282,0.852486765243035
"9",10,10,5,0.810824626065816,0.829746133625154,0.902702516043157,0.832507719639955
"10",20,10,5,0.811060159675501,0.736665795586681,0.84652739207702,0.838903621016833
"11",40,10,5,0.800954959364935,0.723121915293053,0.873307128294075,0.863489727814866
"12",80,10,5,0.794057748052361,0.823195660732475,0.855053128260057,0.949892946071101
"13",100,10,5,0.824193425028755,0.877051408839403,0.841988254474744,0.867512362523384
"14",200,10,5,0.79820306126805,0.872588511202458,0.957761803871273,0.901945799394315
"15",5,20,5,0.817618206894342,0.840532249517609,0.849826777089164,0.84576431120906
"16",10,20,5,0.811804441626041,0.912873425676362,0.825691978594664,0.834553372454269
"17",20,20,5,0.816355219785077,0.74697311144671,0.847507370618729,0.827473278111287
"18",40,20,5,0.793339342229514,0.694729296299537,0.859247429596839,1.03772849826334
"19",80,20,5,0.796534355210399,0.948105999822183,0.948154991716019,0.829645703212752
"20",100,20,5,0.814084344329889,0.867572223604723,0.900277580541608,0.854440433285158
"21",200,20,5,0.824765956378779,0.813322343065928,0.938828399251802,0.858384280633096
"22",5,40,5,0.815098704142951,0.801981235404483,0.872788134587989,0.823667487388298
"23",10,40,5,0.800950288484903,0.8260846738451,0.807322132821815,0.852782339219025
"24",20,40,5,0.800977599370463,0.704114358188923,0.863821786843325,0.960125564084373
"25",40,40,5,0.830347725930459,0.843722648388507,0.909999477183455,0.86717959234261
"26",80,40,5,0.795318168772659,0.909262141081523,1.02231829473456,0.278814059406809
"27",100,40,5,0.807286421715624,0.755440636924101,0.884083574967947,0.952232429995385
"28",200,40,5,1.06992047674682,0.79464330426375,1.09716069808668,0.577780851566054
"29",5,80,5,0.819629372607044,0.882133127338374,0.882212302198683,0.856242837519883
"30",10,80,5,0.887958354822748,0.854323824026197,0.844363817745677,0.877441164567262
"31",20,80,5,0.812716804725137,0.854146579718153,0.894653012296716,0.248995621773071
"32",40,80,5,0.82008594152108,0.741893749038603,0.308588774108401,0.271093012510031
"33",80,80,5,1.32507095897793,0.898614333271928,0.85936934438521,0.312353728111077
"34",100,80,5,0.891056053176213,0.804811238301159,0.386677981929474,0.963551618699391
"35",200,80,5,0.821330380307749,0.782832753456803,0.296018589462978,0.965833062479239
"36",5,100,5,0.828597842180842,0.852910735097132,0.868584368372812,0.874833539224807
"37",10,100,5,0.838592399023898,0.832354859162643,0.901422536336857,0.88715054150627
"38",20,100,5,0.817289117547303,0.872913078885031,0.869456122068865,0.878949932422283
"39",40,100,5,0.792056264411886,0.885520166146636,0.85688755427905,0.211203660393306
"40",80,100,5,0.888347980688605,0.852902026517004,0.915305218142604,0.980414007322132
"41",100,100,5,1.00168314675086,0.671626390857365,0.874276589685433,0.923748326548358
"42",200,100,5,1.26187447211934,0.835040666746229,1.06032964343934,1.000013807016
"43",5,200,5,0.826852290524822,0.893321597616089,0.827518228129087,1.03442614901725
"44",10,200,5,1.07084932537539,0.815126904117389,0.839799653082572,0.319530966123695
"45",20,200,5,0.812825022281976,0.962212017639216,0.97488258605461,1.08696281408057
"46",40,200,5,1.03306333311629,0.710953750041256,0.909365204453542,1.03554728467447
"47",80,200,5,0.83312671104703,0.743368279096187,0.404592888935026,0.892250766365617
"48",100,200,5,0.855280398536893,0.682487348779274,0.481959748733515,0.411664737683867
"49",200,200,5,1.06168264142643,0.825122632659577,0.516613448293954,0.903770279871554
"50",5,5,10,0.863724142199278,0.870593190716663,0.941392160059393,0.997527107508078
"51",10,5,10,0.842931428718694,0.868784815406897,0.844901598310604,0.93667784014423
"52",20,5,10,0.80691644387134,0.840855294393567,0.921027851382337,0.816769573429707
"53",40,5,10,0.795159583215219,0.807236987520576,0.878698231945801,0.899941232555368
"54",80,5,10,0.831765017898658,0.828845751511467,0.58065603040258,0.838422447457024
"55",100,5,10,0.807016127180362,0.836237096689828,0.818641427520415,0.82296320079818
"56",200,5,10,0.913616906023506,0.759199561609423,1.02053564726016,0.953037013470149
"57",5,10,10,0.835639414609141,0.840851471145069,0.63915256095951,0.909191067582162
"58",10,10,10,0.803071121201507,0.770710004204904,0.862304299384418,0.8302123039709
"59",20,10,10,0.810690796255588,0.763148018468167,0.859814147734726,0.834816450048371
"60",40,10,10,0.802853028142014,0.931463620375079,0.445794327109421,0.956543878924046
"61",80,10,10,0.801594318559268,0.809458821601149,0.431277060047351,0.868874875220681
"62",100,10,10,0.813696396587404,0.863463918604377,0.848333547491948,0.899675374857236
"63",200,10,10,0.805423760278624,0.758066118765928,1.02721923315838,0.917871042915586
"64",5,20,10,0.817940868671925,0.818554653094325,0.835352760948593,0.931539980016762
"65",10,20,10,0.810207016351024,0.822546127252428,0.896418506416454,0.849593427795863
"66",20,20,10,0.821218766983918,0.7441386897218,0.88100586620424,0.85359734669162
"67",40,20,10,0.83778590889336,0.829022054129203,0.861423173288185,1.02685876883485
"68",80,20,10,0.792140761303208,0.950139624792479,1.12507112348338,0.342543297365333
"69",100,20,10,0.885315557944667,0.826266632310534,0.857503489009452,0.936093050560999
