"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"1",5,5,5,NA,NA,NA,NA
"2",10,5,5,NA,NA,NA,NA
"3",20,5,5,NA,NA,NA,NA
"4",40,5,5,NA,NA,NA,NA
"5",80,5,5,NA,NA,NA,NA
"6",100,5,5,NA,NA,NA,NA
"7",200,5,5,NA,NA,NA,NA
"8",5,10,5,NA,NA,NA,NA
"9",10,10,5,NA,NA,NA,NA
"10",20,10,5,NA,NA,NA,NA
"11",40,10,5,NA,NA,NA,NA
"12",80,10,5,NA,NA,NA,NA
"13",100,10,5,NA,NA,NA,NA
"14",200,10,5,NA,NA,NA,NA
"15",5,20,5,NA,NA,NA,NA
"16",10,20,5,NA,NA,NA,NA
"17",20,20,5,NA,NA,NA,NA
"18",40,20,5,NA,NA,NA,NA
"19",80,20,5,NA,NA,NA,NA
"20",100,20,5,NA,NA,NA,NA
"21",200,20,5,NA,NA,NA,NA
"22",5,40,5,NA,NA,NA,NA
"23",10,40,5,NA,NA,NA,NA
"24",20,40,5,NA,NA,NA,NA
"25",40,40,5,NA,NA,NA,NA
"26",80,40,5,NA,NA,NA,NA
"27",100,40,5,NA,NA,NA,NA
"28",200,40,5,NA,NA,NA,NA
"29",5,80,5,NA,NA,NA,NA
"30",10,80,5,NA,NA,NA,NA
"31",20,80,5,NA,NA,NA,NA
"32",40,80,5,NA,NA,NA,NA
"33",80,80,5,NA,NA,NA,NA
"34",100,80,5,NA,NA,NA,NA
"35",200,80,5,NA,NA,NA,NA
"36",5,100,5,NA,NA,NA,NA
"37",10,100,5,NA,NA,NA,NA
"38",20,100,5,NA,NA,NA,NA
"39",40,100,5,NA,NA,NA,NA
"40",80,100,5,NA,NA,NA,NA
"41",100,100,5,NA,NA,NA,NA
"42",200,100,5,NA,NA,NA,NA
"43",5,200,5,NA,NA,NA,NA
"44",10,200,5,NA,NA,NA,NA
"45",20,200,5,NA,NA,NA,NA
"46",40,200,5,NA,NA,NA,NA
"47",80,200,5,NA,NA,NA,NA
"48",100,200,5,NA,NA,NA,NA
"49",200,200,5,NA,NA,NA,NA
"50",5,5,10,NA,NA,NA,NA
"51",10,5,10,NA,NA,NA,NA
"52",20,5,10,NA,NA,NA,NA
"53",40,5,10,NA,NA,NA,NA
"54",80,5,10,NA,NA,NA,NA
"55",100,5,10,NA,NA,NA,NA
"56",200,5,10,NA,NA,NA,NA
"57",5,10,10,NA,NA,NA,NA
"58",10,10,10,NA,NA,NA,NA
"59",20,10,10,NA,NA,NA,NA
"60",40,10,10,NA,NA,NA,NA
"61",80,10,10,NA,NA,NA,NA
"62",100,10,10,NA,NA,NA,NA
"63",200,10,10,NA,NA,NA,NA
"64",5,20,10,NA,NA,NA,NA
"65",10,20,10,NA,NA,NA,NA
"66",20,20,10,NA,NA,NA,NA
"67",40,20,10,NA,NA,NA,NA
"68",80,20,10,NA,NA,NA,NA
"69",100,20,10,NA,NA,NA,NA
"70",200,20,10,NA,NA,NA,NA
"71",5,40,10,NA,NA,NA,NA
"72",10,40,10,NA,NA,NA,NA
"73",20,40,10,NA,NA,NA,NA
"74",40,40,10,NA,NA,NA,NA
"75",80,40,10,NA,NA,NA,NA
"76",100,40,10,NA,NA,NA,NA
"77",200,40,10,NA,NA,NA,NA
