Hidden1,Hidden2,Hidden3,ACC_10ep,ACC_100ep,ACC_1000ep,ACC_10000ep
5,5,5,0.463768116,0.507246377,0.449275362,0.52173913
10,5,5,0.362318841,0.434782609,0.536231884,0.492753623
20,5,5,0.463768116,0.536231884,0.550724638,0.52173913
40,5,5,0.492753623,0.565217391,0.52173913,0.507246377
80,5,5,0.507246377,0.536231884,0.463768116,0.47826087
5,10,5,0.434782609,0.463768116,0.47826087,0.434782609
10,10,5,0.434782609,0.52173913,0.492753623,0.507246377
20,10,5,0.463768116,0.449275362,0.47826087,0.434782609
40,10,5,0.507246377,0.550724638,0.52173913,0.536231884
80,10,5,0.507246377,0.507246377,0.536231884,0.550724638
5,20,5,0.594202899,0.550724638,0.434782609,0.52173913
10,20,5,0.507246377,0.536231884,0.463768116,0.550724638
20,20,5,0.449275362,0.565217391,0.449275362,0.492753623
40,20,5,0.608695652,0.536231884,0.579710145,0.565217391
80,20,5,0.492753623,0.550724638,0.52173913,0.463768116
5,40,5,0.507246377,0.52173913,0.565217391,0.507246377
10,40,5,0.47826087,0.463768116,0.47826087,0.492753623
20,40,5,0.52173913,0.579710145,0.52173913,0.594202899
40,40,5,0.47826087,0.594202899,0.52173913,0.492753623
80,40,5,0.579710145,0.47826087,0.492753623,0.550724638
5,80,5,0.507246377,0.507246377,0.507246377,0.652173913
10,80,5,0.507246377,0.492753623,0.536231884,0.550724638
20,80,5,0.565217391,0.550724638,0.565217391,0.579710145
40,80,5,0.623188406,0.623188406,0.565217391,0.565217391
80,80,5,0.52173913,0.507246377,0.405797101,0.492753623
5,5,10,0.492753623,0.507246377,0.492753623,0.405797101
10,5,10,0.420289855,0.507246377,0.434782609,0.449275362
20,5,10,0.463768116,0.47826087,0.507246377,0.550724638
40,5,10,0.52173913,0.47826087,0.579710145,0.492753623
80,5,10,0.405797101,0.463768116,0.492753623,0.550724638
5,10,10,0.463768116,0.507246377,0.492753623,0.434782609
10,10,10,0.420289855,0.536231884,0.492753623,0.52173913
20,10,10,0.52173913,0.536231884,0.492753623,0.565217391
40,10,10,0.550724638,0.550724638,0.434782609,0.52173913
80,10,10,0.550724638,0.507246377,0.52173913,0.507246377
5,20,10,0.536231884,0.550724638,0.507246377,0.52173913
10,20,10,0.536231884,0.47826087,0.52173913,0.507246377
20,20,10,0.463768116,0.536231884,0.47826087,0.507246377
40,20,10,0.579710145,0.492753623,0.565217391,0.536231884
80,20,10,0.536231884,0.47826087,0.434782609,0.550724638
5,40,10,0.550724638,0.492753623,0.47826087,0.594202899
10,40,10,0.463768116,0.492753623,0.52173913,0.47826087
20,40,10,0.507246377,0.550724638,0.550724638,0.52173913
40,40,10,0.579710145,0.52173913,0.492753623,0.536231884
80,40,10,0.536231884,0.507246377,0.565217391,0.550724638
5,80,10,0.52173913,0.492753623,0.579710145,0.492753623
10,80,10,0.492753623,0.565217391,0.536231884,0.47826087
20,80,10,0.52173913,0.536231884,0.492753623,0.565217391
40,80,10,0.507246377,0.565217391,0.608695652,0.594202899
80,80,10,0.594202899,0.565217391,0.579710145,0.420289855
5,5,20,0.449275362,0.507246377,0.47826087,0.47826087
10,5,20,0.420289855,0.449275362,0.507246377,0.449275362
20,5,20,0.449275362,0.449275362,0.536231884,0.52173913
40,5,20,0.463768116,0.507246377,0.52173913,0.507246377
80,5,20,0.47826087,0.550724638,0.536231884,0.536231884
5,10,20,0.420289855,0.52173913,0.507246377,0.507246377
10,10,20,0.420289855,0.405797101,0.492753623,0.507246377
20,10,20,0.47826087,0.536231884,0.449275362,0.507246377
40,10,20,0.536231884,0.52173913,0.565217391,0.47826087
80,10,20,0.507246377,0.507246377,0.550724638,0.52173913
5,20,20,0.536231884,0.550724638,0.52173913,0.492753623
10,20,20,0.507246377,0.449275362,0.536231884,0.507246377
20,20,20,0.449275362,0.463768116,0.463768116,0.47826087
40,20,20,0.507246377,0.550724638,0.565217391,0.550724638
80,20,20,0.449275362,0.565217391,0.507246377,0.536231884
5,40,20,0.52173913,0.550724638,0.507246377,0.579710145
10,40,20,0.507246377,0.492753623,0.507246377,0.47826087
20,40,20,0.536231884,0.550724638,0.536231884,0.507246377
40,40,20,0.550724638,0.536231884,0.507246377,0.608695652
80,40,20,0.507246377,0.550724638,0.492753623,0.507246377
