"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"1",5,5,5,NA,NA,NA,NA
"2",10,5,5,NA,NA,NA,NA
"3",20,5,5,NA,NA,NA,NA
"4",40,5,5,NA,NA,NA,NA
"5",80,5,5,NA,NA,NA,NA
"6",5,10,5,NA,NA,NA,NA
"7",10,10,5,NA,NA,NA,NA
"8",20,10,5,NA,NA,NA,NA
"9",40,10,5,NA,NA,NA,NA
"10",80,10,5,NA,NA,NA,NA
"11",5,20,5,NA,NA,NA,NA
"12",10,20,5,NA,NA,NA,NA
"13",20,20,5,NA,NA,NA,NA
"14",40,20,5,NA,NA,NA,NA
"15",80,20,5,NA,NA,NA,NA
"16",5,40,5,NA,NA,NA,NA
"17",10,40,5,NA,NA,NA,NA
"18",20,40,5,NA,NA,NA,NA
"19",40,40,5,NA,NA,NA,NA
"20",80,40,5,NA,NA,NA,NA
"21",5,80,5,0.507246376811594,0.507246376811594,0.507246376811594,0.652173913043478
"22",10,80,5,0.507246376811594,0.492753623188406,0.536231884057971,0.550724637681159
"23",20,80,5,0.565217391304348,0.550724637681159,0.565217391304348,0.579710144927536
"24",40,80,5,0.623188405797101,0.623188405797101,0.565217391304348,0.565217391304348
"25",80,80,5,0.521739130434783,0.507246376811594,0.405797101449275,0.492753623188406
"26",5,5,10,0.492753623188406,0.507246376811594,0.492753623188406,0.405797101449275
"27",10,5,10,0.420289855072464,0.507246376811594,0.434782608695652,0.449275362318841
"28",20,5,10,0.463768115942029,0.478260869565217,0.507246376811594,0.550724637681159
"29",40,5,10,NA,NA,NA,NA
"30",80,5,10,NA,NA,NA,NA
"31",5,10,10,NA,NA,NA,NA
"32",10,10,10,NA,NA,NA,NA
"33",20,10,10,NA,NA,NA,NA
"34",40,10,10,NA,NA,NA,NA
"35",80,10,10,NA,NA,NA,NA
"36",5,20,10,NA,NA,NA,NA
"37",10,20,10,NA,NA,NA,NA
"38",20,20,10,NA,NA,NA,NA
"39",40,20,10,NA,NA,NA,NA
"40",80,20,10,NA,NA,NA,NA
"41",5,40,10,NA,NA,NA,NA
"42",10,40,10,NA,NA,NA,NA
"43",20,40,10,NA,NA,NA,NA
"44",40,40,10,NA,NA,NA,NA
"45",80,40,10,NA,NA,NA,NA
"46",5,80,10,NA,NA,NA,NA
"47",10,80,10,NA,NA,NA,NA
"48",20,80,10,NA,NA,NA,NA
"49",40,80,10,NA,NA,NA,NA
"50",80,80,10,NA,NA,NA,NA
"51",5,5,20,NA,NA,NA,NA
"52",10,5,20,NA,NA,NA,NA
"53",20,5,20,NA,NA,NA,NA
"54",40,5,20,NA,NA,NA,NA
"55",80,5,20,NA,NA,NA,NA
"56",5,10,20,NA,NA,NA,NA
"57",10,10,20,NA,NA,NA,NA
"58",20,10,20,NA,NA,NA,NA
"59",40,10,20,NA,NA,NA,NA
"60",80,10,20,NA,NA,NA,NA
"61",5,20,20,NA,NA,NA,NA
"62",10,20,20,NA,NA,NA,NA
"63",20,20,20,NA,NA,NA,NA
"64",40,20,20,NA,NA,NA,NA
"65",80,20,20,NA,NA,NA,NA
"66",5,40,20,NA,NA,NA,NA
"67",10,40,20,NA,NA,NA,NA
"68",20,40,20,NA,NA,NA,NA
"69",40,40,20,NA,NA,NA,NA
